City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
74,Bubaque,GW,2021-04-02 21:39:32,11.2833,-15.8333,76.15,80,0,20.15
75,Qaanaaq,GL,2021-04-02 21:39:32,77.484,-69.3632,-18.56,80,100,9.46
76,Atuona,PF,2021-04-02 21:38:51,-9.8,-139.0333,80.55,80,24,13.18
77,Hobart,AU,2021-04-02 21:39:32,-42.8794,147.3294,69.01,59,0,10.36
78,Saint-Joseph,RE,2021-04-02 21:39:33,-21.3667,55.6167,77.0,88,75,14.97
79,Ribeira Grande,PT,2021-04-02 21:39:33,38.5167,-28.7,60.8,82,75,17.27
80,Cabedelo,BR,2021-04-02 21:38:59,-6.9811,-34.8339,80.6,78,0,6.91
81,Shache,CN,2021-04-02 21:39:34,38.4167,77.2406,39.67,65,12,3.58
82,Chuy,UY,2021-04-02 21:39:34,-33.6971,-53.4616,64.15,75,7,7.0
83,Fortuna,US,2021-04-02 21:39:34,40.5982,-124.1573,60.01,82,1,12.66
84,Ukiah,US,2021-04-02 21:39:35,39.1502,-123.2078,79.0,17,1,11.5
85,Ambilobe,MG,2021-04-02 21:39:35,-13.2,49.05,72.09,90,36,3.27
86,Zwedru,LR,2021-04-02 21:39:35,6.0667,-8.1281,74.86,90,53,2.89
87,Arraial Do Cabo,BR,2021-04-02 21:39:36,-22.9661,-42.0278,77.0,83,20,11.5
88,Lagoa,PT,2021-04-02 21:36:46,39.05,-27.9833,60.62,82,100,27.83
89,Lavrentiya,RU,2021-04-02 21:39:36,65.5833,-171.0,7.72,81,100,12.82
90,Eureka,US,2021-04-02 21:39:37,40.8021,-124.1637,59.0,70,100,3.0
91,Provideniya,RU,2021-04-02 21:39:37,64.3833,-173.3,10.81,89,100,15.57
92,Tiksi,RU,2021-04-02 21:39:37,71.6872,128.8694,-17.37,100,100,6.87
93,Vaitape,PF,2021-04-02 21:39:37,-16.5167,-151.75,81.68,70,0,1.81
94,Colares,PT,2021-04-02 21:39:38,38.7992,-9.4469,59.0,88,75,3.44
95,Axim,GH,2021-04-02 21:39:38,4.8699,-2.2405,79.41,89,66,7.99
96,Butaritari,KI,2021-04-02 21:39:39,3.0707,172.7902,81.77,81,32,16.91
97,Hermanus,ZA,2021-04-02 21:39:39,-34.4187,19.2345,61.0,77,61,1.99
98,Victoria,HK,2021-04-02 21:35:45,22.2855,114.1577,75.0,83,0,3.0
99,Svetlogorsk,BY,2021-04-02 21:39:39,52.6333,29.7333,35.91,70,76,5.14
100,Saskylakh,RU,2021-04-02 21:39:40,71.9167,114.0833,-38.07,100,61,2.57
101,Esperance,AU,2021-04-02 21:39:40,-33.8667,121.9,64.4,94,90,9.22
102,East London,ZA,2021-04-02 21:38:27,-33.0153,27.9116,63.57,80,98,15.46
103,Udachnyy,RU,2021-04-02 21:39:41,66.4167,112.4,-30.32,100,100,3.47
104,Bethel,US,2021-04-02 21:39:41,41.3712,-73.414,33.01,49,100,10.54
105,Alasehir,TR,2021-04-02 21:39:41,38.3508,28.5172,47.84,79,4,3.74
106,Airai,TL,2021-04-02 21:39:42,-8.9266,125.4092,60.84,96,100,3.4
107,Carutapera,BR,2021-04-02 21:39:42,-1.195,-46.02,76.84,92,62,6.11
108,Bredasdorp,ZA,2021-04-02 21:39:42,-34.5322,20.0403,50.0,93,35,4.61
109,Narsaq,GL,2021-04-02 21:39:42,60.9167,-46.05,37.4,81,75,4.07
110,Chicama,PE,2021-04-02 21:39:43,-7.8447,-79.1469,69.8,83,97,11.5
111,San Patricio,US,2021-04-02 21:39:43,28.017,-97.5169,71.6,46,75,16.11
112,Mackenzie,CA,2021-04-02 21:39:43,55.2999,-123.1698,37.4,60,90,4.61
113,Wellington,NZ,2021-04-02 21:39:43,-41.2866,174.7756,59.0,67,75,3.44
114,Lorengau,PG,2021-04-02 21:39:44,-2.0226,147.2712,82.15,78,98,4.94
115,Salinas,US,2021-04-02 21:39:01,36.6777,-121.6555,64.0,55,1,12.66
116,Sayyan,YE,2021-04-02 21:39:45,15.1718,44.3244,58.86,28,3,2.53
117,Brae,GB,2021-04-02 21:39:45,60.3964,-1.353,39.2,75,75,8.05
118,Marawi,PH,2021-04-02 21:39:45,7.9986,124.2928,69.71,95,100,0.76
119,Souillac,MU,2021-04-02 21:39:46,-20.5167,57.5167,75.2,100,40,3.44
120,Saint-Leu,RE,2021-04-02 21:39:46,-21.15,55.2833,77.0,88,75,14.97
121,Olafsvik,IS,2021-04-02 21:39:47,64.8945,-23.7142,41.36,89,79,20.8
122,Biak,ID,2021-04-02 21:39:47,-0.9131,122.8766,77.65,76,99,1.3
123,Sao Jose Da Coroa Grande,BR,2021-04-02 21:39:47,-8.8978,-35.1478,78.69,72,3,7.99
124,Iqaluit,CA,2021-04-02 21:39:48,63.7506,-68.5145,-4.0,65,1,3.44
